Dist_Code,Year,State_Code,State_Name,Dist_Name,Rice_Area,RICE_PRODUCTION,RICE_YIELD
1,2005,14,Chhattisgarh,Durg,775.99,984.31,1268.46
1,2006,14,Chhattisgarh,Durg,781.7,1177.1,1505.81
1,2007,14,Chhattisgarh,Durg,799.89,1095.84,1369.98
1,2008,14,Chhattisgarh,Durg,803.37,704.09,876.42
1,2009,14,Chhattisgarh,Durg,789.04,622.05,788.37
1,2010,14,Chhattisgarh,Durg,777.92,1319.18,1695.77
1,2011,14,Chhattisgarh,Durg,806.55,1416.48,1756.23
1,2012,14,Chhattisgarh,Durg,807.07,1534.22,1900.97
1,2013,14,Chhattisgarh,Durg,819.44,1296.24,1581.86
1,2014,14,Chhattisgarh,Durg,834.87,1444.24,1729.89
1,2015,14,Chhattisgarh,Durg,817.68,880.6,1076.95
2,2005,14,Chhattisgarh,Bastar,635.47,788.65,1241.05
2,2006,14,Chhattisgarh,Bastar,546.54,836.54,1530.61
2,2007,14,Chhattisgarh,Bastar,626.07,927.73,1481.83
2,2008,14,Chhattisgarh,Bastar,627.78,729.33,1161.76
2,2009,14,Chhattisgarh,Bastar,626.66,682.46,1089.04
2,2010,14,Chhattisgarh,Bastar,621.89,1184.98,1905.45
2,2011,14,Chhattisgarh,Bastar,627.73,772.88,1231.23
2,2012,14,Chhattisgarh,Bastar,637.8,1341.33,2103.06
2,2013,14,Chhattisgarh,Bastar,642.79,1265.91,1969.4
2,2014,14,Chhattisgarh,Bastar,646.7,1377.04,2129.33
2,2015,14,Chhattisgarh,Bastar,644.56,664.46,1030.87
3,2005,14,Chhattisgarh,Raipur,918.33,1147.58,1249.64
3,2006,14,Chhattisgarh,Raipur,918.39,1324.71,1442.43
3,2007,14,Chhattisgarh,Raipur,956.63,1483.28,1550.53
3,2008,14,Chhattisgarh,Raipur,942.24,1252.38,1329.15
3,2009,14,Chhattisgarh,Raipur,928.66,1307.24,1407.66
3,2010,14,Chhattisgarh,Raipur,915.4,1521.13,1661.71
3,2011,14,Chhattisgarh,Raipur,958.01,1421.37,1483.67
3,2012,14,Chhattisgarh,Raipur,993.68,1974.69,1987.25
3,2013,14,Chhattisgarh,Raipur,1009.22,1749.21,1733.23
3,2014,14,Chhattisgarh,Raipur,1034.99,2127.73,2055.8
3,2015,14,Chhattisgarh,Raipur,986.91,1412.83,1431.57
4,2005,14,Chhattisgarh,Bilaspur,711.59,874.16,1228.45
4,2006,14,Chhattisgarh,Bilaspur,712.81,1127.18,1581.33
4,2007,14,Chhattisgarh,Bilaspur,716.37,1160.03,1619.32
4,2008,14,Chhattisgarh,Bilaspur,749.56,1070.95,1428.76
4,2009,14,Chhattisgarh,Bilaspur,696.49,994.29,1427.57
4,2010,14,Chhattisgarh,Bilaspur,705.67,1333.61,1889.83
4,2011,14,Chhattisgarh,Bilaspur,749.08,1557.35,2079.01
4,2012,14,Chhattisgarh,Bilaspur,747.27,1746.82,2337.61
4,2013,14,Chhattisgarh,Bilaspur,726.15,1577.16,2171.95
4,2014,14,Chhattisgarh,Bilaspur,728.84,1683.92,2310.43
4,2015,14,Chhattisgarh,Bilaspur,731.83,1340.65,1831.92
5,2005,14,Chhattisgarh,Raigarh,421.56,417.86,991.22
5,2006,14,Chhattisgarh,Raigarh,421.04,437.91,1040.07
5,2007,14,Chhattisgarh,Raigarh,423.06,532.65,1259.04
