Dist Code,Year,State Code,State Name,Dist Name,JAN,FEB,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPT,OCT,NOV,DEC,ANNUAL
51,2006,1,Andhra Pradesh,Kurnool,0,0,27,18,74,105,79,41,160,31,56,1,592
51,2007,1,Andhra Pradesh,Kurnool,0,2,0,24,44,396,62,180,236,47,18,0,1009
51,2008,1,Andhra Pradesh,Kurnool,0,16,94,3,31,34,95,132,118,81,55,1,660
51,2009,1,Andhra Pradesh,Kurnool,0,0,6,7,55,97,23,99,232,189,48,3,759
51,2010,1,Andhra Pradesh,Kurnool,11,1,0,15,38,101.3,224.5,180.3,127.2,63.6,51.1,11.1,824.1
51,2011,1,Andhra Pradesh,Kurnool,0.2,3.5,0,14,33,44.1,128.8,153.3,42.3,67.8,13.1,0.3,500.4
51,2012,1,Andhra Pradesh,Kurnool,5.6,0,3.2,35.5,34.4,32.6,141.8,151.2,96.3,60.4,46.6,1.7,609.3
51,2013,1,Andhra Pradesh,Kurnool,0,12.6,4.6,29,48.7,57.4,129,115.8,183.5,121.2,1.6,0,703.4
51,2014,1,Andhra Pradesh,Kurnool,0,1.1,19.7,7.7,48.9,83.2,114.4,153.4,95.1,80.4,23.3,1.7,628.9
51,2015,1,Andhra Pradesh,Kurnool,1.4,0,10.6,44.5,21.3,39.1,44,82,165.3,38.4,21.3,2.4,470.3
52,2005,1,Andhra Pradesh,Ananthapur,2,7,2,28,54,49,145,98,134,191,50,12,772
52,2006,1,Andhra Pradesh,Ananthapur,0,0,41,12,60,79,21,15,86,45,74,1,434
52,2007,1,Andhra Pradesh,Ananthapur,0,0,0,20,66,151,73,108,197,95,9,17,736
52,2008,1,Andhra Pradesh,Ananthapur,0,21,86,0,58,63,87,109,178,112,49,1,764
52,2009,1,Andhra Pradesh,Ananthapur,1,0,7,5,71,55,9,103,191,62,67,4,575
52,2010,1,Andhra Pradesh,Ananthapur,4,1,3,34,83,77.3,107.8,149.8,68.8,72.9,150.8,3.5,755.9
52,2011,1,Andhra Pradesh,Ananthapur,0,0.6,0,33.3,57.6,47,85.4,113,26.2,91.6,24.3,3,482
52,2012,1,Andhra Pradesh,Ananthapur,0.6,1,5.1,74,28.3,16,82.4,113.4,80.2,72.6,59.4,3,536
52,2013,1,Andhra Pradesh,Ananthapur,0,7.4,0.6,18.4,33,49.5,36.3,38.4,226.8,85.6,5.5,0.2,501.7
52,2014,1,Andhra Pradesh,Ananthapur,0,0,15.1,15.2,69.6,60,36.3,71.2,46,107.5,13.6,3.3,437.8
52,2015,1,Andhra Pradesh,Ananthapur,0,0,6.1,75.1,70.4,64.2,19.1,95.3,153.3,96,124,5.3,708.8
53,2005,1,Andhra Pradesh,Kadapa YSR,0,3,4,18,36,39,116,99,76,302,101,61,855
53,2006,1,Andhra Pradesh,Kadapa YSR,0,0,32,3,45,55,45,59,138,55,68,17,517
53,2007,1,Andhra Pradesh,Kadapa YSR,0,0,0,12,65,198,64,181,203,221,34,28,1006
53,2008,1,Andhra Pradesh,Kadapa YSR,0,32,47,2,22,14,50,106,115,110,199,3,700
53,2009,1,Andhra Pradesh,Kadapa YSR,0,0,6,8,43,47,29,145,137,23,141,28,607
53,2010,1,Andhra Pradesh,Kadapa YSR,3,1,0,12,48,119.4,165.1,136.6,101.2,76.9,198.8,45.4,907.4
53,2011,1,Andhra Pradesh,Kadapa YSR,0.3,3.6,0,20,30.6,37.6,117.3,167.7,52,113.8,92,23.8,658.7
53,2012,1,Andhra Pradesh,Kadapa YSR,1.5,1.5,0.3,39.2,26.3,41,117.8,90,38.1,76.3,78.7,47.5,558.2
53,2013,1,Andhra Pradesh,Kadapa YSR,0,26.5,5.2,7.8,32,82.7,90,98,134.1,190.1,21.7,1.1,689.2
53,2014,1,Andhra Pradesh,Kadapa YSR,0,0,7.7,6.5,22.2,45.5,49.5,89.4,82.6,96.9,26.7,5.6,432.6
